사용자 유형,질문,정답 팀,유사도 점수
입문자,자연스러운 문장 생성 실패 (API 확인 필요),윌리엄스 레이싱,0.7329058887975508
입문자,자연스러운 문장 생성 실패 (API 확인 필요),페라리,0.7427178147944594
입문자,자연스러운 문장 생성 실패 (API 확인 필요),알핀,0.7956949047828139
기존 팬,자연스러운 문장 생성 실패 (API 확인 필요),자우버,0.7346015813464358
기존 팬,자연스러운 문장 생성 실패 (API 확인 필요),페라리,0.8650427670926654
기존 팬,자연스러운 문장 생성 실패 (API 확인 필요),메르세데스,0.7717299454835498
입문자,자연스러운 문장 생성 실패 (API 확인 필요),알핀,0.8854606251262763
입문자,자연스러운 문장 생성 실패 (API 확인 필요),맥라렌,0.7555183264878247
입문자,자연스러운 문장 생성 실패 (API 확인 필요),자우버,0.8178089835815903
기존 팬,자연스러운 문장 생성 실패 (API 확인 필요),맥라렌,0.9047597784446653
기존 팬,자연스러운 문장 생성 실패 (API 확인 필요),하스,0.7991692784339367
입문자,자연스러운 문장 생성 실패 (API 확인 필요),페라리,0.7973837046530979
입문자,자연스러운 문장 생성 실패 (API 확인 필요),페라리,0.8139312399619516
입문자,자연스러운 문장 생성 실패 (API 확인 필요),하스,0.8446798905369096
기존 팬,자연스러운 문장 생성 실패 (API 확인 필요),맥라렌,0.8336293507257395
기존 팬,자연스러운 문장 생성 실패 (API 확인 필요),맥라렌,0.8878869749816015
입문자,자연스러운 문장 생성 실패 (API 확인 필요),윌리엄스 레이싱,0.7924934742099665
기존 팬,자연스러운 문장 생성 실패 (API 확인 필요),메르세데스,0.7534783560715363
입문자,자연스러운 문장 생성 실패 (API 확인 필요),윌리엄스 레이싱,0.7348986606312808
기존 팬,자연스러운 문장 생성 실패 (API 확인 필요),알핀,0.8313858719446314
기존 팬,자연스러운 문장 생성 실패 (API 확인 필요),자우버,0.8552342740239849
기존 팬,자연스러운 문장 생성 실패 (API 확인 필요),알핀,0.8292429994636326
기존 팬,자연스러운 문장 생성 실패 (API 확인 필요),애스턴 마틴,0.9148780098975213
기존 팬,자연스러운 문장 생성 실패 (API 확인 필요),레이싱 불스,0.7952480923851057
입문자,자연스러운 문장 생성 실패 (API 확인 필요),레드불 레이싱,0.8873037700881924
입문자,자연스러운 문장 생성 실패 (API 확인 필요),레이싱 불스,0.7555027503389463
입문자,자연스러운 문장 생성 실패 (API 확인 필요),레드불 레이싱,0.7392922182801814
입문자,자연스러운 문장 생성 실패 (API 확인 필요),윌리엄스 레이싱,0.8275567878400885
입문자,자연스러운 문장 생성 실패 (API 확인 필요),메르세데스,0.7479436565178079
입문자,자연스러운 문장 생성 실패 (API 확인 필요),애스턴 마틴,0.85415095284409
입문자,자연스러운 문장 생성 실패 (API 확인 필요),하스,0.8295323969696933
입문자,자연스러운 문장 생성 실패 (API 확인 필요),맥라렌,0.8841659317898836
기존 팬,자연스러운 문장 생성 실패 (API 확인 필요),맥라렌,0.798760572779896
기존 팬,자연스러운 문장 생성 실패 (API 확인 필요),레이싱 불스,0.7649185365905036
입문자,자연스러운 문장 생성 실패 (API 확인 필요),레드불 레이싱,0.8707954475938872
입문자,자연스러운 문장 생성 실패 (API 확인 필요),레이싱 불스,0.7250218208939128
기존 팬,자연스러운 문장 생성 실패 (API 확인 필요),알핀,0.8534981874226093
기존 팬,자연스러운 문장 생성 실패 (API 확인 필요),메르세데스,0.9481967160542499
기존 팬,자연스러운 문장 생성 실패 (API 확인 필요),자우버,0.8698289755703901
입문자,자연스러운 문장 생성 실패 (API 확인 필요),맥라렌,0.8858340077642408
입문자,자연스러운 문장 생성 실패 (API 확인 필요),자우버,0.7884184372328826
기존 팬,자연스러운 문장 생성 실패 (API 확인 필요),알핀,0.7143805409040271
기존 팬,자연스러운 문장 생성 실패 (API 확인 필요),메르세데스,0.925500140704077
기존 팬,자연스러운 문장 생성 실패 (API 확인 필요),알핀,0.7589812952796671
기존 팬,자연스러운 문장 생성 실패 (API 확인 필요),자우버,0.9146467302713447
기존 팬,자연스러운 문장 생성 실패 (API 확인 필요),윌리엄스 레이싱,0.8147519574159072
기존 팬,자연스러운 문장 생성 실패 (API 확인 필요),레드불 레이싱,0.796361016194546
기존 팬,자연스러운 문장 생성 실패 (API 확인 필요),레이싱 불스,0.8293381259681178
기존 팬,자연스러운 문장 생성 실패 (API 확인 필요),레이싱 불스,0.7021914568522554
기존 팬,자연스러운 문장 생성 실패 (API 확인 필요),하스,0.9029341341416496
