테스트_카테고리,사용자_질문,타겟_팀
전통/역사,저는 좀 전통을 소중히 하는 팀을 응원하고 싶어요. 어디가 좋을까요?,맥라렌
언더독/서사,저는 좀 꼴찌의 반란 팀을 응원하고 싶어요. 어디가 좋을까요?,맥라렌
자본/재력,저는 좀 투자를 아끼지 않는 팀을 응원하고 싶어요. 어디가 좋을까요?,맥라렌
공격성,저는 좀 공격 위주의 팀을 응원하고 싶어요. 어디가 좋을까요?,맥라렌
공격성,F1 팀 중에서 공격 위주의 느낌이 강한 곳 추천 부탁드려요.,맥라렌
자본/재력,투자를 아끼지 않는 매력이 있는 팀이 나랑 잘 맞을 것 같아요.,맥라렌
스타성,성적도 중요하지만 슈퍼스타가 있는 스토리가 있는 팀이 끌리네요.,맥라렌
공격성,성적도 중요하지만 추월을 무서워하지 않는 스토리가 있는 팀이 끌리네요.,맥라렌
스타성,성적도 중요하지만 유명한 드라이버가 있는 스토리가 있는 팀이 끌리네요.,맥라렌
공격성,공격 위주의 매력이 있는 팀이 나랑 잘 맞을 것 같아요.,맥라렌
자본/재력,투자를 아끼지 않는 매력이 있는 팀이 나랑 잘 맞을 것 같아요.,맥라렌
전통/역사,역사가 깊은 매력이 있는 팀이 나랑 잘 맞을 것 같아요.,맥라렌
공격성,저는 좀 추월을 무서워하지 않는 팀을 응원하고 싶어요. 어디가 좋을까요?,맥라렌
스타성,저는 좀 화려한 인지도의 팀을 응원하고 싶어요. 어디가 좋을까요?,맥라렌
전통/역사,전통을 소중히 하는 매력이 있는 팀이 나랑 잘 맞을 것 같아요.,맥라렌
자본/재력,부유한 구단 매력이 있는 팀이 나랑 잘 맞을 것 같아요.,맥라렌
전통/역사,역사가 깊은 매력이 있는 팀이 나랑 잘 맞을 것 같아요.,맥라렌
공격성,저는 좀 화끈하게 공격하는 팀을 응원하고 싶어요. 어디가 좋을까요?,맥라렌
언더독/서사,저는 좀 도전하는 정신 팀을 응원하고 싶어요. 어디가 좋을까요?,맥라렌
전통/역사,F1 팀 중에서 근본 있는 느낌이 강한 곳 추천 부탁드려요.,맥라렌
전통/역사,성적도 중요하지만 전통을 소중히 하는 스토리가 있는 팀이 끌리네요.,맥라렌
스타성,유명한 드라이버가 있는 매력이 있는 팀이 나랑 잘 맞을 것 같아요.,맥라렌
언더독/서사,F1 팀 중에서 약팀이지만 저력 있는 느낌이 강한 곳 추천 부탁드려요.,맥라렌
공격성,성적도 중요하지만 공격 위주의 스토리가 있는 팀이 끌리네요.,맥라렌
전통/역사,역사가 깊은 매력이 있는 팀이 나랑 잘 맞을 것 같아요.,맥라렌
전통/역사,전통을 소중히 하는 매력이 있는 팀이 나랑 잘 맞을 것 같아요.,맥라렌
공격성,화끈하게 공격하는 매력이 있는 팀이 나랑 잘 맞을 것 같아요.,맥라렌
스타성,성적도 중요하지만 유명한 드라이버가 있는 스토리가 있는 팀이 끌리네요.,맥라렌
공격성,F1 팀 중에서 공격 위주의 느낌이 강한 곳 추천 부탁드려요.,맥라렌
자본/재력,부유한 구단 매력이 있는 팀이 나랑 잘 맞을 것 같아요.,맥라렌
공격성,성적도 중요하지만 공격적인 드라이빙 스토리가 있는 팀이 끌리네요.,맥라렌
언더독/서사,성적도 중요하지만 꼴찌의 반란 스토리가 있는 팀이 끌리네요.,맥라렌
공격성,F1 팀 중에서 공격 위주의 느낌이 강한 곳 추천 부탁드려요.,맥라렌
언더독/서사,F1 팀 중에서 꼴찌의 반란 느낌이 강한 곳 추천 부탁드려요.,맥라렌
스타성,슈퍼스타가 있는 매력이 있는 팀이 나랑 잘 맞을 것 같아요.,맥라렌
스타성,유명한 드라이버가 있는 매력이 있는 팀이 나랑 잘 맞을 것 같아요.,맥라렌
스타성,저는 좀 화려한 인지도의 팀을 응원하고 싶어요. 어디가 좋을까요?,맥라렌
스타성,슈퍼스타가 있는 매력이 있는 팀이 나랑 잘 맞을 것 같아요.,맥라렌
언더독/서사,F1 팀 중에서 약팀이지만 저력 있는 느낌이 강한 곳 추천 부탁드려요.,맥라렌
언더독/서사,F1 팀 중에서 도전하는 정신 느낌이 강한 곳 추천 부탁드려요.,맥라렌
전통/역사,역사가 깊은 매력이 있는 팀이 나랑 잘 맞을 것 같아요.,맥라렌
공격성,성적도 중요하지만 공격 위주의 스토리가 있는 팀이 끌리네요.,맥라렌
공격성,F1 팀 중에서 화끈하게 공격하는 느낌이 강한 곳 추천 부탁드려요.,맥라렌
공격성,저는 좀 추월을 무서워하지 않는 팀을 응원하고 싶어요. 어디가 좋을까요?,맥라렌
스타성,F1 팀 중에서 화려한 인지도의 느낌이 강한 곳 추천 부탁드려요.,맥라렌
전통/역사,저는 좀 근본 있는 팀을 응원하고 싶어요. 어디가 좋을까요?,맥라렌
공격성,F1 팀 중에서 공격적인 드라이빙 느낌이 강한 곳 추천 부탁드려요.,맥라렌
자본/재력,부유한 구단 매력이 있는 팀이 나랑 잘 맞을 것 같아요.,맥라렌
공격성,저는 좀 공격적인 드라이빙 팀을 응원하고 싶어요. 어디가 좋을까요?,맥라렌
공격성,성적도 중요하지만 공격 위주의 스토리가 있는 팀이 끌리네요.,맥라렌
